,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Kif5a,0.5757600951171613,-0.05960428860601002,0.6353643837231713,,0.3312212601827546,2.403132333807204e-06,3.93956120296263e-05,4.404552148160341,True
Tk1,1.058906156277254,0.4244344232757298,0.6344717330015242,1.3636512029466856,0.8004715376420143,0.0019950982042674426,0.009561173502879118,2.0194888007628538,True
Ccl5,0.5137226871918659,-0.11759827998611896,0.6313209671779848,,0.2607028150546374,0.0005266424488848777,0.0033331800562334036,2.4771412253984337,True
Sema4b,0.5995227937370504,-0.028500180162414415,0.6280229738994648,,0.3623422995331048,0.000503782110271231,0.003243232469557281,2.489021920698745,True
X5730559C18Rik,0.644769189696029,0.020306220915980444,0.6244629687800486,4.936854840995247,0.41417635586503077,5.790416044714598e-07,1.165855579472738e-05,4.933355244536432,True
Hes1,0.7207356443572763,0.09671854686212579,0.6240170974951506,2.9430815756342468,0.49439215391556013,0.002085863701850732,0.009854474181971962,2.0063665439832596,True
Herpud1,0.57465143916568,-0.04852553346945151,0.6231769726351315,,0.3369265468835049,0.0016596013830988993,0.008284199915635105,2.081749429188344,True
H2.Ab1,-1.2802895087299626,-1.897701872088624,0.6174123633586615,-0.610266764702065,,0.004968604567541966,0.018916007236834897,1.7231705285053711,True
Hoxa7,0.8214629495207337,0.20748858048545069,0.613974369035283,2.0373383761382953,0.5988184919730991,0.0017052178180318772,0.00846962492399939,2.072135821905912,True
Fads3,0.6012109993451052,-0.009153655569249438,0.6103646549143547,,0.3740976351461249,0.001434716239681009,0.007382759380862825,2.1317812858869516,True
Paqr5,0.6141294869318126,0.004046784765240275,0.6100827021665723,6.753867109708939,0.3885622316384878,0.009541607048232181,0.03209060666445801,1.4936220726042142,True
Itgb7,0.05104927630272135,-0.5581012477203785,0.6091505240230999,,-0.4218360557007288,0.010741869732474624,0.03502783608415638,1.455586691278879,True
Smarca5,1.3719388946551367,0.7630137153332148,0.6089251793219219,0.8825473047027231,1.0478707950007637,0.002402365110997639,0.010870430366505155,1.9637532616084172,True
Hist3h2ba,0.6079055592426094,0.003728246969678148,0.6041773122729313,6.8181162568114555,0.3849526216169717,0.0005012999932365103,0.003234193504751679,2.4902339994166955,True
Gm15987,0.4837643507958054,-0.11352899213077998,0.5972933429265853,,0.24503032238092548,3.870013294730022e-06,5.834190896577923e-05,4.234019364728505,True
Serinc3,1.0063688442238943,0.40966477189899503,0.5967040723248993,1.3437268540048473,0.7723221721408271,0.004122690041277092,0.01629521755445491,1.7879398369743162,True
Eif4g2,1.3036764480341518,0.7082171474483099,0.595459300585842,0.918200905775367,1.0042833429128382,0.010419917096139921,0.03435137504221952,1.4640558739961014,True
Ktn1,0.741523896549258,0.14715903186775664,0.5943648646815014,2.386595845895812,0.5304118575181711,0.007887141569173101,0.027674180944467025,1.5579252238028864,True
St3gal5,0.49552317362108594,-0.09788988045209275,0.5934130540731787,,0.26161102214577275,0.002543059941104037,0.011252477615504589,1.9487518423283865,True
BC147527,0.576903163887174,-0.01617646567943706,0.5930796295666111,,0.35655328488360055,1.5570188292043797e-05,0.00017760671055563266,3.7505406291980474,True
Snx29,0.3246445231841278,-0.2673655562842057,0.5920100794683335,,0.04073743648550052,0.004157318625246267,0.016367396162386878,1.786020405637091,True
Cbx5,1.3448664131571206,0.7530779033360325,0.5917885098210881,0.8734458192721791,1.0349003809170019,0.0028844637580300154,0.012361987534414351,1.907911698678006,True
