,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Neb,-0.019866834607173894,0.020921977228512557,-0.04078881183568645,,0.0007609238104764381,0.0075010073241161095,0.0497854468414786,1.3028975905761375,True
Shroom4,0.05259224742922409,0.09339828321785493,-0.04080603578863084,-0.8299762128858468,0.10164371010252411,0.007525026823398051,0.049834614724490404,1.3024688949564582,True
Ephb4,0.054143010250414396,0.09541379283965233,-0.041270782589237935,-0.8190404208013724,0.1040392347471552,0.004336750770309391,0.03441865690721739,1.4632060808174305,True
Scnn1a,0.044319850073884115,0.08559574439839487,-0.04127589432451076,-0.9483969363613626,0.09079625962996361,0.0017758466293720677,0.01769946806683124,1.752039785565387,True
Bcam,-0.07041266536617775,-0.027977372141122864,-0.04243529322505489,1.4164261819635913,-0.07277863333968046,0.0021569696458443493,0.02067383047135159,1.6845790493306658,True
Trac,-0.04039711116872528,0.0024794584835508074,-0.04287656965227609,,-0.02761440820346411,3.542601871239102e-05,0.0012215868521514145,2.9130756502057427,True
X5830473C10Rik,-0.033973224068273813,0.009610928375880855,-0.04358415244415467,,-0.017681592612319465,0.00011020828988948264,0.0026639562817892034,2.5744729066539516,True
Tmod2,-0.061934316359486666,-0.014534429761842063,-0.0473998865976446,2.2796300895712696,-0.05624272900885555,0.0003901010437979208,0.0061015342339924335,2.214560947681377,True
X2210406O10Rik,0.02991687472745874,0.07738671728719813,-0.04746984255973939,-1.3571025159682903,0.07539817326417671,0.0040770251810500315,0.03311309678927056,1.4800002014406104,True
Pdzph1,-0.027990583242879976,0.02079205608950689,-0.04878263933238687,,-0.005202007036162244,0.0055096206590748665,0.040913024696100496,1.3881384119641735,True
Plxna4os1,-0.021534834731739356,0.030759393390751604,-0.05229422812249096,,0.006638814225024422,0.0018976939480792921,0.01878904899088408,1.726095201190777,True
C130026I21Rik,-0.23835551357516843,-0.18551917337578286,-0.05283634019938557,0.37067522240048834,-0.34361775624171875,0.0022446719039375214,0.02133877497707049,1.6708305163065538,True
Cdkn2a,-0.05029942047296471,0.0041596829553584595,-0.05445910342832317,,-0.03367270865713021,0.007561185395434211,0.049853969640225565,1.3023002551215028,True
Rragd,-0.10942364595092303,-0.05226420034327754,-0.05715944560764549,1.1081051280249012,-0.12161823643829542,0.0008649255991529106,0.010590925703913191,1.9750660785581284,True
Ache,-0.04138513085237965,0.01800475727978193,-0.05938988813216158,,-0.01696472926898477,0.00016641784372601836,0.003443127801227966,2.463046856953185,True
Gm3739,-0.039254766795979674,0.020497141508472844,-0.05975190830445252,,-0.013594617295912851,2.0765293107229763e-05,0.0008652205461345734,3.0628731760488015,True
Patj,-0.0012908564624576377,0.060226761351207886,-0.06151761781366552,,0.04189891926670372,0.0006707975683392175,0.008904392500078108,2.0503957048210215,True
Lrrc9,0.03470512742696069,0.09740840327396258,-0.06270327584700189,-1.4742914887070349,0.09228426071359275,0.00035513617798090463,0.0057902637714277935,2.237301651839695,True
Atoh8,-0.013641713689436705,0.04983712395059624,-0.06347883764003294,,0.02587602108291567,0.006069817559810295,0.04366775222885104,1.3598391625492496,True
Scn1b,-0.14194815869417002,-0.07731811701526156,-0.06463004167890846,0.9033487936197736,-0.16752819572536234,0.0001677622100687147,0.0034471687000420833,2.462537462253618,True
Lurap1,0.03327085081117203,0.10045586017441625,-0.06718500936324423,-1.576880411239988,0.09337540673680507,7.358114030560886e-05,0.0020439205640446906,2.6895359868482016,True
Adora2a,-0.11924828503234335,-0.04776573522092593,-0.07148254981141741,1.3685890533042422,-0.12580424905249044,1.7178303320296157e-05,0.0007691777606102757,3.113973281094849,True
Nr4a2,-0.06175439595907067,0.011439819565196003,-0.07319421552426666,,-0.03675863213495855,2.42238247807932e-06,0.00020186520650661,3.694938529616758,True
Tesc,-0.07440557820525574,-0.0006561113355479855,-0.07374946686970776,,-0.05518778828112585,0.0001967880140597538,0.0038585885109755653,2.413571533152166,True
Lag3,-0.09009339868167608,-0.015383708040518296,-0.07470969064115779,2.7336587088738287,-0.07816542662537393,0.006841956816873895,0.04675596913581249,1.330162936721729,True
Tubb3,-0.06895548860702816,0.007632865670270778,-0.07658835427729893,,-0.04492726114383622,0.0001369626795172904,0.0030841470773660977,2.510864919413089,True
