,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Pitx2_464,0.24036267946609968,0.2678193341897903,-0.027456654723690632,-0.1220117850238472,0.3266420453770644,0.6731816375357561,0.9138997394665197,0.039101446481490026,False,Pitx2
Nr2e3_683,-0.02697782973365498,0.0007328667071571902,-0.027710696440812168,,-0.019057052188119004,0.7567329757956394,0.9383219396540803,0.027648128969672354,False,Nr2e3
NP_604,0.18437425395567658,0.21218739755204197,-0.027813143596365386,-0.15814294983420765,0.2609660537396395,0.405230537857185,0.7637037059616179,0.1170751019274842,False,NP
NP_601,0.2906881550173157,0.3186678016194757,-0.027979646602160013,-0.10449006512070867,0.3836937635673539,0.7123310032331105,0.9158541470139991,0.03817368374539279,False,NP
Irx6_485,0.09285792485621183,0.1211140904824131,-0.02825616562620127,-0.29375270169458784,0.14663698653349164,0.6896899077879488,0.9138997394665197,0.039101446481490026,False,Irx6
Lbx1_451,-0.030630523559750007,-0.0017979899701705958,-0.02883253358957941,,-0.023583946832769837,0.7555105220934977,0.9383219396540803,0.027648128969672354,False,Lbx1
Foxp3_311,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxp3
Foxk2_310,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxk2
Foxk1_324,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxk1
Foxj2_298,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxj2
Foxp4_300,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxp4
Foxp2_301,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxp2
Foxo3_319,0.019604235099931644,0.04867856391748016,-0.02907432881754852,-0.8988305759571108,0.0484334607234597,0.6904797891584435,0.9138997394665197,0.039101446481490026,False,Foxo3
Scrt1_205,0.33072294262209473,0.3598285521493408,-0.029105609527246057,-0.09700862248814136,0.42790191896159335,0.8482663713552925,0.9543577450158396,0.02028879766200524,False,Scrt1
Sox11_747,-0.04348729540887122,-0.014329826760750357,-0.02915746864812086,1.5422949051758508,-0.04232094727738801,0.7751412525912318,0.9383219396540803,0.027648128969672354,False,Sox11
Crem_134,-0.20621218033154973,-0.17684628508522718,-0.02936589524632255,0.18404304157521348,-0.30673248525258956,0.7271662755478521,0.9224161851652709,0.035073085303234636,False,Crem
E2f7_260,0.4015656084961412,0.4309945352357512,-0.029428926739610006,-0.0817494093147418,0.5021065891058267,0.6774904342495409,0.9138997394665197,0.039101446481490026,False,E2f7
Zfp42_875,0.27625682358239095,0.30613551823415636,-0.029878694651765403,-0.1185247829084497,0.3687082053672436,0.7734996634685409,0.9383219396540803,0.027648128969672354,False,Zfp42
Mbtps2_813,0.27625682358239095,0.30613551823415636,-0.029878694651765403,-0.1185247829084497,0.3687082053672436,0.7734996634685409,0.9383219396540803,0.027648128969672354,False,Mbtps2
Bbx_730,-0.07516912782454158,-0.044344155411979835,-0.03082497241256174,0.6747188956975566,-0.08889388438335448,0.7087385734638316,0.9138997394665197,0.039101446481490026,False,Bbx
Foxl1_375,0.3442714153556567,0.3751964521831615,-0.030925036827504804,-0.10036718533917213,0.44332437942842673,0.6440949473526002,0.9138997394665197,0.039101446481490026,False,Foxl1
Gm5294_348,0.3442714153556567,0.3751964521831615,-0.030925036827504804,-0.10036718533917213,0.44332437942842673,0.6440949473526002,0.9138997394665197,0.039101446481490026,False,Gm5294
Pbx1_554,-0.2056649453263978,-0.17428895199441302,-0.03137599333198479,0.2013199442314996,-0.3039651306183468,0.9709283491769629,0.9915922652070965,0.0036668695514308126,False,Pbx1
Pdx1_472,-0.04520145209244409,-0.01353111303130797,-0.03167033906113612,1.7061864375356166,-0.04300111822242757,0.962383481168267,0.9915922652070965,0.0036668695514308126,False,Pdx1
Zfx_240,0.04231743537023232,0.074492988771133,-0.03217555340090068,-0.6164845202030401,0.0818920712360414,0.6132833925188911,0.9007382665462568,0.0454013864992093,False,Zfx
Zbtb49_176,-0.0060175799815650665,0.026430782017177627,-0.032448361998742695,-4.189522202450195,0.014650373950195037,0.7449418579757345,0.9319698138079402,0.03059815407192884,False,Zbtb49
